action,high,low,total,freq
PAYMENT,100,299,8,0.00040
CASH_IN,3,3,371,0.01855
CASH_IN,4,4,276,0.01380
TRANSFER,4,4,1011,0.05055
CASH_OUT,100,299,152,0.00760
CASH_IN,100,299,7150,0.35750
CASH_OUT,4,4,1147,0.05735
DEBIT,2,2,3236,0.16180
CASH_IN,5,9,857,0.04285
CASH_OUT,1,1,9908,0.49540
TRANSFER,1500,4999,0,0.00000
PAYMENT,300,799,0,0.00000
TRANSFER,1,1,10644,0.53220
CASH_IN,10,99,7319,0.36595
CASH_OUT,800,1499,0,0.00000
CASH_IN,2,2,689,0.03445
CASH_OUT,300,799,36,0.00180
TRANSFER,5,9,1786,0.08930
DEBIT,10,99,546,0.02730
TRANSFER,10,99,824,0.04120
TRANSFER,300,799,0,0.00000
CASH_OUT,10,99,336,0.01680
PAYMENT,3,3,2148,0.10740
PAYMENT,4,4,1598,0.07990
CASH_OUT,5,9,1446,0.07230
DEBIT,1,1,12965,0.64825
DEBIT,3,3,1421,0.07105
DEBIT,4,4,749,0.03745
CASH_OUT,3,3,2355,0.11775
DEBIT,10000,200000,1,0.00005
DEBIT,100,299,11,0.00055
CASH_IN,800,1499,48,0.00240
TRANSFER,100,299,10,0.00050
PAYMENT,10,99,1092,0.05460
CASH_IN,1500,4999,3,0.00015
CASH_IN,300,799,1775,0.08875
CASH_OUT,2,2,4681,0.23405
PAYMENT,2,2,3206,0.16030
DEBIT,5,9,1132,0.05660
TRANSFER,2,2,3881,0.19405
CASH_IN,1,1,1573,0.07865
TRANSFER,800,1499,0,0.00000
PAYMENT,1,1,5868,0.29340
TRANSFER,3,3,1905,0.09525
PAYMENT,5,9,6141,0.30705
