action,month,day,hour,count,sum,avg,std,step
TRANSFER,0,0,0,3,154.92,51.64,23.07,0
CASH_OUT,0,0,0,3,154.92,51.64,23.07,0
CASH_IN,0,0,1,4437,605832985.67,136541.13,1201.17,1
PAYMENT,0,0,1,29,185109.94,6383.10,749.60,1
DEBIT,0,0,1,45,352741.38,7838.70,740.81,1
TRANSFER,0,0,1,1,25057.15,25057.15,0.00,1
CASH_OUT,0,0,1,5,204572.60,40914.52,35439.07,1
CASH_IN,0,0,2,857,122453867.84,142886.66,2738.55,2
PAYMENT,0,0,2,6,37829.46,6304.91,994.80,2
DEBIT,0,0,2,9,50438.03,5604.23,1056.59,2
CASH_OUT,0,0,2,2,235862.14,117931.07,15695.07,2
CASH_IN,0,0,3,3,520849.89,173616.63,32521.45,3
DEBIT,0,0,3,1,5850.87,5850.87,0.00,3
TRANSFER,0,0,3,3,429034.80,143011.60,175107.76,3
CASH_OUT,0,0,3,2,429014.80,214507.40,303283.72,3
TRANSFER,0,0,4,3,158676.39,52892.13,64730.67,4
CASH_OUT,0,0,4,3,158676.39,52892.13,64730.67,4
TRANSFER,0,0,5,3,12510.11,4170.04,5054.01,5
CASH_OUT,0,0,5,2,12490.11,6245.05,8737.16,5
CASH_IN,0,0,6,1652,238465930.35,144349.84,1966.89,6
PAYMENT,0,0,6,11,83217.73,7565.25,1568.90,6
DEBIT,0,0,6,14,48823.34,3487.38,1053.72,6
TRANSFER,0,0,6,2,171554.22,85777.11,92743.14,6
CASH_OUT,0,0,6,9,633020.45,70335.61,17323.54,6
CASH_IN,0,0,7,10987,1501736998.63,136683.08,750.95,7
PAYMENT,0,0,7,94,650635.30,6921.65,380.71,7
DEBIT,0,0,7,73,386295.19,5291.71,390.54,7
TRANSFER,0,0,7,3,71986.35,23995.45,17677.17,7
CASH_OUT,0,0,7,17,1620853.70,95344.34,17687.71,7
CASH_IN,0,0,8,29746,4089499654.75,137480.66,460.14,8
PAYMENT,0,0,8,261,1878642.85,7197.87,260.38,8
DEBIT,0,0,8,209,1936440.73,9265.27,427.16,8
TRANSFER,0,0,8,17,4469123.09,262889.59,70275.15,8
CASH_OUT,0,0,8,100,11590151.12,115901.51,6632.77,8
CASH_IN,0,0,9,41850,5794439285.07,138457.33,391.67,9
PAYMENT,0,0,9,751,6166542.76,8211.11,168.18,9
