action,month,day,hour,count,sum,avg,std,step
TRANSFER,0,0,0,1,8.34,8.34,0.00,0
CASH_OUT,0,0,0,1,8.34,8.34,0.00,0
CASH_IN,0,0,1,4433,613973438.52,138500.66,1200.80,1
PAYMENT,0,0,1,46,269978.78,5869.10,483.03,1
DEBIT,0,0,1,60,414386.37,6906.44,826.23,1
CASH_OUT,0,0,1,9,710742.56,78971.40,16918.08,1
CASH_IN,0,0,2,924,127724512.83,138229.99,2735.10,2
PAYMENT,0,0,2,13,76887.27,5914.41,893.90,2
DEBIT,0,0,2,19,94384.64,4967.61,878.51,2
TRANSFER,0,0,2,1,35.06,35.06,0.00,2
CASH_OUT,0,0,2,3,318705.18,106235.06,65841.47,2
CASH_IN,0,0,3,7,1150957.56,164422.51,47186.91,3
DEBIT,0,0,3,2,11580.73,5790.37,3075.99,3
TRANSFER,0,0,3,2,369860.11,184930.05,261425.29,3
CASH_OUT,0,0,3,2,369860.11,184930.05,261425.29,3
TRANSFER,0,0,5,3,78659.29,26219.76,32051.15,5
CASH_OUT,0,0,5,3,78659.29,26219.76,32051.15,5
CASH_IN,0,0,6,1529,211672418.02,138438.47,2113.00,6
PAYMENT,0,0,6,15,104126.19,6941.75,1116.10,6
DEBIT,0,0,6,24,152926.16,6371.92,709.36,6
TRANSFER,0,0,6,2,522874.84,261437.42,259793.18,6
CASH_OUT,0,0,6,5,903639.44,180727.89,74773.45,6
CASH_IN,0,0,7,10950,1501504489.60,137123.70,759.20,7
PAYMENT,0,0,7,122,766024.53,6278.89,331.99,7
DEBIT,0,0,7,171,995726.92,5822.96,332.85,7
TRANSFER,0,0,7,3,526045.92,175348.64,56230.53,7
CASH_OUT,0,0,7,32,2742614.42,85706.70,9766.97,7
CASH_IN,0,0,8,29478,4083025133.35,138510.93,462.42,8
PAYMENT,0,0,8,326,2287248.22,7016.10,234.75,8
DEBIT,0,0,8,460,4256090.08,9252.37,325.98,8
TRANSFER,0,0,8,15,3602543.12,240169.54,41489.88,8
CASH_OUT,0,0,8,127,15491735.84,121982.17,6372.80,8
CASH_IN,0,0,9,42128,5875941611.58,139478.29,393.04,9
PAYMENT,0,0,9,868,7194027.87,8288.05,155.19,9
DEBIT,0,0,9,702,6914819.29,9850.17,278.13,9
TRANSFER,0,0,9,137,66276826.30,483772.45,28742.76,9
CASH_OUT,0,0,9,671,92960519.53,138540.27,2871.76,9
CASH_IN,0,0,10,26263,3702704575.01,140985.59,497.48,10
PAYMENT,0,0,10,1195,9767309.66,8173.48,130.07,10
DEBIT,0,0,10,479,4655140.98,9718.46,321.74,10
TRANSFER,0,0,10,262,142234014.69,542877.92,22637.18,10
CASH_OUT,0,0,10,1175,165842676.89,141142.70,2174.67,10
CASH_IN,0,0,11,24970,3545114825.31,141974.96,512.87,11
PAYMENT,0,0,11,1805,15286390.34,8468.91,111.12,11
DEBIT,0,0,11,535,6475307.39,12103.38,373.43,11
TRANSFER,0,0,11,377,167046491.10,443094.14,16383.09,11
CASH_OUT,0,0,11,1766,252929438.50,143221.65,2600.21,11
CASH_IN,0,0,12,22404,3152184163.89,140697.38,538.92,12
PAYMENT,0,0,12,2243,18296655.01,8157.22,96.84,12
DEBIT,0,0,12,456,8843161.46,19392.90,613.25,12
TRANSFER,0,0,12,550,253741999.71,461349.09,12324.21,12
CASH_OUT,0,0,12,2105,292474651.76,138942.83,1975.81,12
CASH_IN,0,0,13,22667,3189883635.25,140728.09,532.03,13
PAYMENT,0,0,13,3018,24498298.25,8117.40,83.89,13
DEBIT,0,0,13,592,4097605.52,6921.63,199.44,13
TRANSFER,0,0,13,671,270233991.59,402733.22,8991.97,13
CASH_OUT,0,0,13,2994,400382114.20,133728.16,1280.47,13
CASH_IN,0,0,14,24698,3424624116.30,138659.98,504.93,14
PAYMENT,0,0,14,3846,27905124.37,7255.62,65.84,14
DEBIT,0,0,14,639,4269251.06,6681.14,196.67,14
TRANSFER,0,0,14,990,376213080.18,380013.21,7202.22,14
