action,high,low,total,freq
PAYMENT,100,299,6,0.00030
CASH_IN,3,3,354,0.01770
CASH_IN,4,4,249,0.01245
TRANSFER,4,4,1002,0.05010
CASH_OUT,100,299,132,0.00660
CASH_IN,100,299,7196,0.35980
CASH_OUT,4,4,1153,0.05765
DEBIT,2,2,3317,0.16585
CASH_IN,5,9,827,0.04135
CASH_OUT,1,1,10067,0.50335
TRANSFER,1500,4999,0,0.00000
PAYMENT,300,799,1,0.00005
TRANSFER,1,1,10767,0.53835
CASH_IN,10,99,7407,0.37035
CASH_OUT,800,1499,1,0.00005
CASH_IN,2,2,634,0.03170
CASH_OUT,300,799,31,0.00155
TRANSFER,5,9,1695,0.08475
DEBIT,10,99,558,0.02790
TRANSFER,10,99,857,0.04285
TRANSFER,300,799,0,0.00000
CASH_OUT,10,99,364,0.01820
PAYMENT,3,3,2163,0.10815
PAYMENT,4,4,1583,0.07915
CASH_OUT,5,9,1407,0.07035
DEBIT,1,1,12906,0.64530
DEBIT,3,3,1365,0.06825
DEBIT,4,4,708,0.03540
CASH_OUT,3,3,2259,0.11295
DEBIT,10000,200000,1,0.00005
DEBIT,100,299,11,0.00055
CASH_IN,800,1499,66,0.00330
TRANSFER,100,299,7,0.00035
PAYMENT,10,99,1096,0.05480
CASH_IN,1500,4999,0,0.00000
CASH_IN,300,799,1725,0.08625
CASH_OUT,2,2,4647,0.23235
PAYMENT,2,2,3142,0.15710
DEBIT,5,9,1195,0.05975
TRANSFER,2,2,3861,0.19305
CASH_IN,1,1,1603,0.08015
TRANSFER,800,1499,1,0.00005
PAYMENT,1,1,5873,0.29365
TRANSFER,3,3,1871,0.09355
PAYMENT,5,9,6197,0.30985
