name,nbVictims,profit
C3878666406,1,2069692.26
C1371256555,1,2642885.10
C6538181671,1,6968489.96
C1372241760,1,1905646.15
C4973344318,2,6979877.13
C2436356447,2,12919597.04
C9701498481,2,6019724.75
C0512127036,1,8263933.35
C7661513724,0,0.00
C0704315814,2,5772596.15
C4212673931,1,3711946.60
C1823561902,0,0.00
C2911509323,1,2751038.62
C8343498778,0,0.00
C5505435951,0,0.00
C3240181160,3,14006398.67
C5281006183,1,3186217.85
C8717133216,0,0.00
C2915248617,0,0.00
C2918741724,1,6702653.78
C4424330132,2,10483513.76
C7708086205,0,0.00
C0940820468,1,4202773.55
C2003397499,2,4746091.37
C7960787697,1,2949727.14
C8011910959,0,0.00
C8863080986,3,10874825.26
C3999091730,0,0.00
C2509261051,1,2414395.20
C9957393221,0,0.00
C3777752391,0,0.00
C9163127413,3,13243058.39
C0723252423,0,0.00
C7607214796,2,7847122.91
C4990562007,0,0.00
C2490001225,0,0.00
C5110726066,0,0.00
C2547853872,0,0.00
C6558784611,2,4873936.64
C4666374535,1,4639634.48
C5343902341,0,0.00
C2323099770,0,0.00
C6287448346,2,4374797.91
C0222428527,0,0.00
C2623006312,1,2633349.79
C8875311461,0,0.00
C1056816587,0,0.00
C9563596333,0,0.00
C6876376009,1,2591743.32
C2568267962,1,3740486.08
C4465845220,2,7005137.36
C4506504918,0,0.00
C3966852588,0,0.00
C8932073459,1,6828948.52
C5102036376,0,0.00
C9162769674,0,0.00
C0104069868,1,6434939.45
C4535455716,1,3725169.40
C4666571318,1,3407380.63
C0539354026,4,25404948.78
C8568807591,0,0.00
C5048463436,1,4272983.34
C5129040973,0,0.00
C3685431977,0,0.00
C1395013538,0,0.00
C9008054451,1,4401960.04
C5746824195,1,6299023.39
C8607694808,0,0.00
C0306811402,0,0.00
C2850409854,1,430446.24
C6769610271,0,0.00
C5055964800,0,0.00
C2599616571,1,3972603.84
C5981282845,1,3608625.94
C6906329796,0,0.00
C5571030119,2,4456531.92
C4508529414,2,2947534.04
C8025324751,4,15461633.97
C9547106592,1,7343439.65
C9530764535,1,2096211.64
C5282863085,0,0.00
C1188202180,0,0.00
C3932454766,0,0.00
C3240703625,0,0.00
C9996487368,1,4176515.78
C3112046967,0,0.00
C1580521962,1,3224281.27
C4907074325,2,5115893.31
C4048839661,0,0.00
C8509860925,0,0.00
C0306523119,2,4665480.04
C2106509218,0,0.00
C0321948336,1,759041.64
C8938158940,0,0.00
C0920262575,0,0.00
C6687508940,1,2293323.89
C6564484263,1,2529349.54
C2579211514,0,0.00
C1315613779,2,6916859.17
C9687781650,0,0.00
C7894005302,0,0.00
C2632284708,0,0.00
C4307073934,1,2760539.95
C0394357805,1,3996412.36
C6655861617,0,0.00
C3456947365,0,0.00
C8046996531,0,0.00
C5130738017,0,0.00
C0963483367,1,5089941.87
C2707931091,0,0.00
C3118250255,0,0.00
C4482144270,0,0.00
C5153626161,2,5377071.81
C2086005410,2,6918772.58
C7965109870,1,3968955.94
C6606234686,1,9500640.08
C7599172163,0,0.00
C6010413320,1,3060359.16
C8087369772,0,0.00
C2957049082,0,0.00
C4847980610,1,2603818.24
C6925912232,0,0.00
C5826831674,0,0.00
C8691068390,0,0.00
C0095364910,0,0.00
C2370219559,3,13006741.32
C2169213302,0,0.00
C4745919510,0,0.00
C0893260933,0,0.00
C3464175769,1,4780432.51
C2682537231,0,0.00
C8738836361,1,2869145.51
C0956541237,1,2187576.28
C9315085111,1,164059.04
C8755587607,1,1581883.30
C2421303591,2,5395412.93
C3583811734,0,0.00
C8832332287,1,2946053.93
C8908496806,1,3539339.48
C4938956131,2,7927110.76
C1117491196,1,8205509.16
C3181324748,0,0.00
C0719488295,1,4580014.27
C1671658525,1,7181734.96
C6029646258,0,0.00
C8346226690,0,0.00
C2308737582,2,2827168.94
C8910499433,1,198272.89
C5102759617,2,11680552.03
C6302969527,0,0.00
C8543068412,1,4927349.99
C0817084477,0,0.00
C2244862686,1,6009714.63
C7142506770,0,0.00
C9179722977,0,0.00
C5175655484,0,0.00
C1976874965,0,0.00
C6656614609,0,0.00
C5190101586,3,19372621.96
C8081897118,0,0.00
C8383667568,1,3506664.53
C6441463768,2,9298804.40
C4110384413,0,0.00
C5380204742,0,0.00
C6974508740,1,4918478.21
C2123064166,1,1436934.59
C2590123816,2,16842003.19
C2404625214,0,0.00
C6324478171,1,3956037.04
C5608114978,1,3084313.08
C9580533216,0,0.00
C5362629449,1,3812102.08
C9036553205,0,0.00
C2500239012,0,0.00
C3651688745,0,0.00
C1121241901,0,0.00
C6394706598,1,4259046.93
C4500628738,1,2638573.56
C0342642914,1,3865227.68
C8477164168,1,295420.58
C1289216922,1,2788080.48
C2842795843,0,0.00
C1998931136,0,0.00
C6826384191,1,2953541.47
C9208160961,0,0.00
C8945891164,0,0.00
C4891288632,1,2991172.02
C0023467205,0,0.00
C3544389672,0,0.00
C4905352621,1,6084950.76
C1613807371,1,3514478.62
C2065699475,1,2975932.02
C8195473901,1,3866071.24
C1236076034,0,0.00
C3090436603,1,3531557.79
C0371133575,1,242833.47
C9922723352,2,15913782.79
C2443970138,1,3282603.66
C7730749288,0,0.00
C7341475042,1,2215350.22
C1659066146,0,0.00
C7615593274,2,4804192.70
C8742303856,0,0.00
C7852117205,2,14708944.63
C3951538774,0,0.00
C5873245141,1,3291816.58
C2442086949,4,15990852.61
C8209317511,0,0.00
C9370779094,1,2869973.37
C1771886528,0,0.00
C2874826164,0,0.00
C3193806377,1,7310345.16
C5744997271,2,7184029.83
C9216138558,1,4262067.37
C4434700159,0,0.00
C5164496703,1,4502670.33
C5657360437,1,3212732.77
C9883843846,2,7161137.33
C1407719077,1,3888538.52
C4928910413,2,3602696.42
C5727154191,0,0.00
C8592730768,1,3945326.32
C2617603597,0,0.00
C7392746210,1,9870565.36
