action,month,day,hour,count,sum,avg,std,step
CASH_IN,0,0,1,4459,613947284.50,137687.21,1204.05,1
PAYMENT,0,0,1,23,132215.25,5748.49,653.32,1
DEBIT,0,0,1,6,48984.57,8164.10,1592.63,1
TRANSFER,0,0,1,6,693558.27,115593.05,50824.74,1
CASH_OUT,0,0,1,7,386599.89,55228.56,36943.81,1
CASH_IN,0,0,2,877,124379019.13,141823.28,2768.51,2
PAYMENT,0,0,2,2,18752.18,9376.09,633.41,2
DEBIT,0,0,2,1,4925.88,4925.88,0.00,2
TRANSFER,0,0,2,3,140222.69,46740.90,57181.93,2
CASH_OUT,0,0,2,3,285230.83,95076.94,58196.89,2
CASH_IN,0,0,3,4,447205.47,111801.37,46077.15,3
TRANSFER,0,0,3,1,41.21,41.21,0.00,3
CASH_OUT,0,0,3,1,41.21,41.21,0.00,3
TRANSFER,0,0,4,1,198272.89,198272.89,0.00,4
CASH_OUT,0,0,4,1,198272.89,198272.89,0.00,4
CASH_IN,0,0,6,1554,218927327.28,140879.88,2065.66,6
PAYMENT,0,0,6,9,66997.86,7444.21,1663.76,6
CASH_OUT,0,0,6,2,190335.10,95167.55,46143.20,6
CASH_IN,0,0,7,10650,1460579493.48,137143.61,765.09,7
PAYMENT,0,0,7,70,482640.57,6894.87,477.60,7
DEBIT,0,0,7,16,58848.38,3678.02,680.82,7
TRANSFER,0,0,7,1,20.00,20.00,0.00,7
CASH_OUT,0,0,7,8,554113.39,69264.17,24929.05,7
CASH_IN,0,0,8,28906,3980212241.92,137695.02,466.64,8
PAYMENT,0,0,8,183,1405860.08,7682.30,299.90,8
DEBIT,0,0,8,56,381516.41,6812.79,647.62,8
TRANSFER,0,0,8,6,1089102.83,181517.14,65245.33,8
CASH_OUT,0,0,8,45,5344247.02,118761.04,12904.40,8
CASH_IN,0,0,9,41358,5697375758.01,137757.53,389.28,9
PAYMENT,0,0,9,659,5192565.41,7879.46,165.63,9
DEBIT,0,0,9,90,718499.97,7983.33,660.56,9
TRANSFER,0,0,9,107,54954408.08,513592.60,30996.32,9
CASH_OUT,0,0,9,519,72239828.40,139190.42,3010.64,9
CASH_IN,0,0,10,25719,3607210692.90,140254.70,503.05,10
PAYMENT,0,0,10,1059,8614636.22,8134.69,135.47,10
DEBIT,0,0,10,93,916490.21,9854.73,629.59,10
TRANSFER,0,0,10,213,124760376.09,585729.47,25309.27,10
CASH_OUT,0,0,10,1065,152021414.36,142743.11,2300.66,10
CASH_IN,0,0,11,24876,3497862369.22,140611.93,511.44,11
PAYMENT,0,0,11,1607,13541523.20,8426.59,115.41,11
DEBIT,0,0,11,122,1457760.66,11948.86,745.01,11
TRANSFER,0,0,11,360,170253942.06,472927.62,14160.15,11
CASH_OUT,0,0,11,1553,220437426.09,141942.97,1912.03,11
CASH_IN,0,0,12,21984,3070485415.37,139669.10,541.85,12
PAYMENT,0,0,12,1955,15564011.90,7961.13,98.44,12
DEBIT,0,0,12,138,2919034.50,21152.42,1255.67,12
TRANSFER,0,0,12,499,222573770.95,446039.62,12297.31,12
CASH_OUT,0,0,12,2135,298297903.28,139717.99,1583.45,12
CASH_IN,0,0,13,22801,3226162027.28,141492.13,529.55,13
PAYMENT,0,0,13,2682,22211476.35,8281.68,88.90,13
DEBIT,0,0,13,161,901627.18,5600.17,318.97,13
TRANSFER,0,0,13,650,274528966.29,422352.26,9251.34,13
CASH_OUT,0,0,13,2845,390286663.73,137183.36,1336.64,13
CASH_IN,0,0,14,24751,3411658222.42,137839.21,499.02,14
PAYMENT,0,0,14,3753,27484921.55,7323.45,65.91,14
DEBIT,0,0,14,212,1131808.19,5338.72,250.18,14
TRANSFER,0,0,14,888,329205256.53,370726.64,7309.48,14
CASH_OUT,0,0,14,3882,517958504.08,133425.68,1104.63,14
CASH_IN,0,0,15,26161,3567055797.58,136350.13,479.99,15
PAYMENT,0,0,15,4789,35958400.06,7508.54,59.61,15
DEBIT,0,0,15,252,2947743.97,11697.40,491.57,15
TRANSFER,0,0,15,1329,489224886.74,368115.04,6041.72,15
CASH_OUT,0,0,15,5211,682071590.26,130890.73,905.11,15
CASH_IN,0,0,16,21707,2964075735.69,136549.30,529.43,16
PAYMENT,0,0,16,4624,34253547.97,7407.77,60.09,16
DEBIT,0,0,16,299,2225549.12,7443.31,311.87,16
TRANSFER,0,0,16,1278,561769604.18,439569.33,8035.98,16
CASH_OUT,0,0,16,5200,686075402.22,131937.58,1005.04,16
CASH_IN,0,0,17,22421,3063720820.73,136645.15,517.21,17
PAYMENT,0,0,17,5498,39778609.78,7235.11,55.40,17
DEBIT,0,0,17,353,2512510.20,7117.59,259.57,17
TRANSFER,0,0,17,1480,554675936.50,374781.04,5982.12,17
CASH_OUT,0,0,17,5969,757802666.80,126956.39,922.84,17
CASH_IN,0,0,18,27011,3660848321.84,135531.76,466.69,18
PAYMENT,0,0,18,7755,54640203.25,7045.80,44.68,18
DEBIT,0,0,18,416,2560588.14,6155.26,205.48,18
TRANSFER,0,0,18,2018,744893092.32,369124.43,4813.78,18
CASH_OUT,0,0,18,8541,1033421939.94,120995.43,670.27,18
CASH_IN,0,0,19,23908,3231745893.07,135174.25,496.01,19
PAYMENT,0,0,19,7697,58653358.99,7620.29,49.15,19
DEBIT,0,0,19,443,3556038.94,8027.18,254.26,19
TRANSFER,0,0,19,1883,810888626.97,430636.55,6326.53,19
CASH_OUT,0,0,19,8349,1047022639.27,125406.95,901.38,19
CASH_IN,0,0,20,18024,2424916754.12,134538.21,565.10,20
PAYMENT,0,0,20,6598,53547193.70,8115.67,57.48,20
DEBIT,0,0,20,414,4877711.39,11781.91,412.27,20
TRANSFER,0,0,20,1688,854616949.56,506289.66,7869.88,20
CASH_OUT,0,0,20,6837,881961821.66,128998.37,910.11,20
CASH_IN,0,0,21,14304,1912621459.72,133712.35,636.79,21
PAYMENT,0,0,21,5475,44322956.07,8095.52,62.29,21
DEBIT,0,0,21,353,2835240.66,8031.84,291.19,21
TRANSFER,0,0,21,1370,645213128.65,470958.49,7868.41,21
CASH_OUT,0,0,21,5390,711131709.25,131935.38,906.99,21
CASH_IN,0,0,22,11002,1473494650.85,133929.71,718.56,22
PAYMENT,0,0,22,4660,38593024.59,8281.76,68.95,22
DEBIT,0,0,22,253,1647687.68,6512.60,304.27,22
TRANSFER,0,0,22,1119,483666244.49,432230.78,7719.93,22
CASH_OUT,0,0,22,4462,594364147.29,133205.77,1011.02,22
CASH_IN,0,0,23,5889,802714733.99,136307.48,1024.63,23
PAYMENT,0,0,23,2805,23240272.97,8285.30,87.38,23
DEBIT,0,0,23,141,886336.12,6286.07,404.88,23
TRANSFER,0,0,23,557,241148018.15,432940.79,10721.69,23
CASH_OUT,0,0,23,2282,304723263.47,133533.42,1535.46,23
CASH_IN,0,1,0,2789,390280745.70,139935.73,1495.84,24
PAYMENT,0,1,0,1310,11192313.40,8543.75,127.74,24
DEBIT,0,1,0,90,741067.96,8234.09,579.36,24
TRANSFER,0,1,0,250,110473437.87,441893.75,17012.77,24
CASH_OUT,0,1,0,1145,156014505.46,136257.21,2651.79,24
CASH_IN,0,1,1,1367,192178548.40,140584.16,2256.38,25
PAYMENT,0,1,1,718,5635127.58,7848.37,170.25,25
DEBIT,0,1,1,47,205351.75,4369.19,350.25,25
TRANSFER,0,1,1,128,62889808.85,491326.63,39131.22,25
CASH_OUT,0,1,1,648,95954166.28,148077.42,7569.94,25
CASH_IN,0,1,2,290,40657744.38,140199.12,4690.31,26
PAYMENT,0,1,2,174,1255143.94,7213.47,356.14,26
DEBIT,0,1,2,5,5255.17,1051.03,369.43,26
TRANSFER,0,1,2,15,5838103.20,389206.88,57708.54,26
CASH_OUT,0,1,2,106,14385399.44,135711.32,5995.96,26
CASH_IN,0,1,3,3,483694.81,161231.60,41825.27,27
PAYMENT,0,1,3,3,8541.99,2847.33,1656.69,27
CASH_OUT,0,1,3,5,709355.41,141871.08,56667.23,27
TRANSFER,0,1,6,1,2869145.51,2869145.51,0.00,30
CASH_OUT,0,1,6,1,2869145.51,2869145.51,0.00,30
TRANSFER,0,1,7,1,2476161.76,2476161.76,0.00,31
CASH_OUT,0,1,7,1,2476161.76,2476161.76,0.00,31
CASH_IN,0,1,10,1745,240292121.62,137703.22,1891.50,34
PAYMENT,0,1,10,715,6272745.58,8773.07,187.35,34
DEBIT,0,1,10,38,209272.82,5507.18,491.76,34
TRANSFER,0,1,10,155,72669416.74,468834.95,24321.12,34
CASH_OUT,0,1,10,803,110338257.62,137407.54,2329.42,34
CASH_IN,0,1,11,9154,1277429841.56,139548.81,822.01,35
PAYMENT,0,1,11,3734,32629802.12,8738.57,83.18,35
DEBIT,0,1,11,196,2044070.21,10428.93,516.94,35
TRANSFER,0,1,11,1019,478223695.71,469306.87,8593.71,35
CASH_OUT,0,1,11,4149,566576296.34,136557.31,1068.62,35
CASH_IN,0,1,12,18491,2577126189.92,139371.92,576.70,36
PAYMENT,0,1,12,7927,70121876.85,8845.95,56.79,36
DEBIT,0,1,12,407,5225024.35,12837.90,429.37,36
TRANSFER,0,1,12,2157,938737335.09,435205.07,5614.55,36
CASH_OUT,0,1,12,8418,1141089428.94,135553.51,841.24,36
CASH_IN,0,1,13,10919,1523588435.35,139535.53,760.93,37
PAYMENT,0,1,13,4789,40179016.26,8389.86,70.12,37
DEBIT,0,1,13,253,2708413.00,10705.19,518.97,37
TRANSFER,0,1,13,1252,507787815.82,405581.32,6883.01,37
CASH_OUT,0,1,13,5265,710158653.02,134882.94,942.55,37
CASH_IN,0,1,14,9621,1355793409.06,140920.22,800.00,38
PAYMENT,0,1,14,4262,31045395.63,7284.23,61.13,38
DEBIT,0,1,14,242,850636.76,3515.03,141.06,38
TRANSFER,0,1,14,1117,472512709.13,423019.44,7295.47,38
CASH_OUT,0,1,14,5025,666874484.27,132711.34,956.39,38
CASH_IN,0,1,15,5356,738169377.77,137821.02,1072.36,39
PAYMENT,0,1,15,2613,19066360.77,7296.73,77.63,39
DEBIT,0,1,15,123,1213996.88,9869.89,647.26,39
TRANSFER,0,1,15,644,300980595.40,467361.17,11156.53,39
CASH_OUT,0,1,15,2635,354630330.89,134584.57,1328.37,39
CASH_IN,0,1,16,15365,2138021584.01,139148.82,633.76,40
PAYMENT,0,1,16,7238,51966616.64,7179.69,46.81,40
DEBIT,0,1,16,441,4645140.83,10533.20,369.95,40
TRANSFER,0,1,16,2103,882151190.32,419472.75,5501.87,40
CASH_OUT,0,1,16,7909,1026001425.60,129725.81,758.32,40
CASH_IN,0,1,17,13469,1877633396.98,139404.07,674.53,41
PAYMENT,0,1,17,6837,46101848.18,6742.99,47.14,41
DEBIT,0,1,17,365,3656723.08,10018.42,403.22,41
TRANSFER,0,1,17,1884,759334671.56,403043.88,5924.82,41
CASH_OUT,0,1,17,7354,931298592.37,126638.37,840.73,41
CASH_IN,0,1,18,16361,2248937249.00,137457.20,605.70,42
PAYMENT,0,1,18,8182,55765272.90,6815.60,42.36,42
