action,high,low,total,freq
PAYMENT,100,299,6,0.00030
CASH_IN,3,3,392,0.01960
CASH_IN,4,4,277,0.01385
TRANSFER,4,4,1013,0.05065
CASH_OUT,100,299,142,0.00710
CASH_IN,100,299,7196,0.35980
CASH_OUT,4,4,1182,0.05910
DEBIT,2,2,3314,0.16570
CASH_IN,5,9,883,0.04415
CASH_OUT,1,1,10027,0.50135
TRANSFER,1500,4999,0,0.00000
PAYMENT,300,799,1,0.00005
TRANSFER,1,1,10690,0.53450
CASH_IN,10,99,7388,0.36940
CASH_OUT,800,1499,1,0.00005
CASH_IN,2,2,633,0.03165
CASH_OUT,300,799,27,0.00135
TRANSFER,5,9,1708,0.08540
DEBIT,10,99,617,0.03085
TRANSFER,10,99,862,0.04310
TRANSFER,300,799,0,0.00000
CASH_OUT,10,99,350,0.01750
PAYMENT,3,3,2173,0.10865
PAYMENT,4,4,1543,0.07715
CASH_OUT,5,9,1532,0.07660
DEBIT,1,1,12825,0.64125
DEBIT,3,3,1412,0.07060
DEBIT,4,4,729,0.03645
CASH_OUT,3,3,2196,0.10980
DEBIT,10000,200000,4,0.00020
DEBIT,100,299,6,0.00030
CASH_IN,800,1499,42,0.00210
TRANSFER,100,299,10,0.00050
PAYMENT,10,99,1065,0.05325
CASH_IN,1500,4999,3,0.00015
CASH_IN,300,799,1614,0.08070
CASH_OUT,2,2,4604,0.23020
PAYMENT,2,2,3254,0.16270
DEBIT,5,9,1154,0.05770
TRANSFER,2,2,3894,0.19470
CASH_IN,1,1,1633,0.08165
TRANSFER,800,1499,0,0.00000
PAYMENT,1,1,5845,0.29225
TRANSFER,3,3,1884,0.09420
PAYMENT,5,9,6174,0.30870
