name,nbVictims,profit
C7972197112,0,0.00
C6145441772,0,0.00
C6413264301,0,0.00
C3629348752,0,0.00
C1087880589,1,6645142.15
C5244956001,0,0.00
C1047473080,1,4912847.94
C8365762776,0,0.00
C4440108375,0,0.00
C7580444415,0,0.00
C7934547253,0,0.00
C8636293866,0,0.00
C5490052460,0,0.00
C9288359741,1,1717630.20
C6403958928,0,0.00
C7985510889,0,0.00
C5532569833,0,0.00
C9056383780,1,7391104.13
C4179670390,2,6402677.20
C1742321985,0,0.00
C7513295885,1,3539175.49
C9462161651,0,0.00
C4001300044,0,0.00
C0020159661,0,0.00
C7365844542,0,0.00
C3500469556,1,1966756.70
C5695446546,0,0.00
C5858343994,1,2536193.12
C9912032014,0,0.00
C2015980361,1,3777711.15
C2912562802,0,0.00
C5294118533,0,0.00
C1964525201,0,0.00
C6994645146,0,0.00
C6454277762,0,0.00
C2100047045,0,0.00
C1652598983,1,4053206.71
C4023874157,0,0.00
C3071320322,0,0.00
C8687623601,2,5356712.96
C7423320383,1,4259303.60
C6365932697,0,0.00
C8777567871,2,10911738.11
C5016967214,1,7725468.21
C5772330562,0,0.00
C7665296924,1,711301.57
C9438692803,1,4332919.04
C6810706418,1,2700921.22
C9704985276,1,3718783.84
C6225685007,0,0.00
C9636815733,0,0.00
C8521712641,1,3494543.99
C6121823875,1,3645748.33
C5805447696,1,1726883.82
C5014769807,0,0.00
C0562441644,1,3963589.76
C3833840830,0,0.00
C6454332781,1,4663595.18
C0443580627,0,0.00
C2749539813,0,0.00
C5588339698,0,0.00
C7978132989,2,5696628.34
C2386514163,2,19031520.24
C8660957209,2,9982476.00
C5089788394,1,3067638.68
C4475164477,0,0.00
C7252718600,0,0.00
C8013269398,0,0.00
C4824419578,0,0.00
C3362675497,2,12186264.09
C8533499047,0,0.00
C2318326131,2,10552729.14
C6650711444,1,3248366.97
C1143016791,2,7057473.83
C7276334794,1,1445752.17
C2918593004,1,3370256.46
C0047888726,0,0.00
C4938001660,1,6118486.14
C1696884927,0,0.00
C7025579914,0,0.00
C8400830428,6,22184774.68
C1717699712,0,0.00
C9256307804,0,0.00
C2147645297,0,0.00
C0946262157,1,11228951.90
C1249188294,0,0.00
C9541382600,1,2225793.67
C3418399164,0,0.00
C1233278528,0,0.00
C3452804453,1,4340796.72
C8554277889,3,19802969.80
C0009079849,2,6756861.25
C7561007318,0,0.00
C7308226492,0,0.00
C4822755691,1,1196927.59
C7495202953,1,1106790.02
C4557721478,0,0.00
C9683968107,3,13268052.50
C5618460053,1,2825525.21
C9833311069,1,4710844.27
C4310373819,2,2384452.06
C4987946737,1,2769446.56
C9320553732,1,3658176.20
C1435905322,0,0.00
C5150135162,0,0.00
C1427287727,0,0.00
C9694980539,3,11416471.86
C9840666915,0,0.00
C4705414389,1,7083019.61
C1126795568,0,0.00
C3382489831,0,0.00
C3481602210,0,0.00
C1191040528,0,0.00
C5589593151,1,4460268.31
C2214177449,2,14268000.89
C2020953188,3,16461291.31
C1615584406,0,0.00
C1707608569,0,0.00
C3148261619,0,0.00
C7303064623,0,0.00
C1877135038,1,3286507.09
C5777582858,1,1297819.44
C3875782970,2,9047415.90
C7392704736,0,0.00
C1558399583,0,0.00
C6824940935,2,9233592.14
C4332151347,2,8197094.36
C1515095580,0,0.00
C8825299943,1,1998157.77
C4979641116,0,0.00
C4553152773,0,0.00
C1549636856,1,6140246.05
C1658205453,0,0.00
C8600366951,1,1742286.88
C5154649622,1,11865867.06
C8480687805,1,3672408.41
C1443452575,1,2687235.72
C4980821770,0,0.00
C2243838806,2,4420252.88
C2186094746,1,43.15
C1550282099,3,15656006.09
C0159472528,0,0.00
C8242833021,0,0.00
C7661042063,0,0.00
C4636596781,0,0.00
C6974473239,1,132763.76
C2314850510,1,4282352.24
C4864248958,0,0.00
C8988531988,2,6456785.14
C2084461270,0,0.00
C4206168643,0,0.00
C6142877350,1,2720903.13
C5879199707,1,2976986.75
C8710383110,0,0.00
C0881352244,0,0.00
C6521440558,0,0.00
C0554351770,2,6361022.45
C2060210539,2,7631307.26
C4995463596,1,6705896.14
C3684785546,0,0.00
C5228681343,1,4334957.13
C8482767051,1,2444454.50
C1325336370,2,8798217.73
C0768659727,0,0.00
C1193339697,0,0.00
C4000365603,1,1808757.51
C1553093215,0,0.00
C1196798165,0,0.00
C2106951152,0,0.00
C5727595522,1,3354594.41
C9650702802,0,0.00
C5040093128,1,2832510.53
C4826133459,1,6508873.29
C7564489243,1,3673496.49
C0216173681,1,1992977.56
C9241471792,0,0.00
C4736560840,1,1654367.02
C7472678260,0,0.00
C0172599687,0,0.00
C1162085502,2,13411280.80
C7357191790,0,0.00
C6095600480,3,14185863.10
C1041604336,0,0.00
C3147687106,0,0.00
C8288258576,0,0.00
C5874504472,1,4045006.49
C8445898311,1,4023671.53
C0939994580,2,6599117.89
C7901803654,0,0.00
C2041951819,1,1687251.81
C6334019696,0,0.00
C2142263958,1,3949078.75
C4825586823,0,0.00
C1764839526,0,0.00
C4822856461,0,0.00
C8525859918,1,2941200.63
C4040442450,1,2032575.83
C8452741858,0,0.00
C2605236267,2,13174268.40
C2601706423,0,0.00
C8282877517,1,9071611.35
C3206483536,2,7069268.22
C2928595749,0,0.00
C1289816302,0,0.00
C4933410408,0,0.00
C4435916626,1,3050192.22
C7263633248,0,0.00
C7240515635,1,2850183.48
C7297747642,0,0.00
C2802078396,1,2595805.12
C0343968855,0,0.00
C6899169506,0,0.00
C3749736353,1,3117590.06
C3755068995,0,0.00
C1738433572,0,0.00
C8707064917,0,0.00
C2007604508,2,6106371.44
C6923519447,0,0.00
C5230091096,0,0.00
C7158206172,0,0.00
C8417447760,2,6359961.08
C7018632773,1,3499998.69
C2818421416,1,4884979.38
C4630110879,1,2503780.97
C8819509518,0,0.00
C4994025635,0,0.00
C7559654166,1,3986215.37
C3605280529,1,3173550.75
C0182769371,0,0.00
C5176044032,0,0.00
C2735218485,1,3297047.71
C8702675226,1,2109880.07
C5141115404,0,0.00
C3483662234,0,0.00
C7497590546,1,416984.43
C3058319977,2,9380174.48
C4601535378,1,4332381.31
C1155598412,0,0.00
C7396077920,1,3199135.40
C2601860750,0,0.00
C1950829279,2,15399195.84
C9088092434,0,0.00
C9575423608,0,0.00
C8217111296,3,16611147.26
C3994387807,2,5424492.01
C5739228805,0,0.00
C1641209789,0,0.00
C7771338478,1,3739389.17
C9751127431,0,0.00
C0992399729,0,0.00
C0398091139,0,0.00
C8681318891,0,0.00
C0384564502,0,0.00
C3325382062,4,15731357.63
C2804274209,2,13304240.90
C0264771467,1,4341981.33
C3870240615,0,0.00
C6251955950,0,0.00
C1243257519,2,12894400.31
C3493908223,1,2832151.11
C6700139501,3,16636919.94
C7866738352,0,0.00
C8028647376,2,13234032.47
C9217828327,1,7346763.91
C6236982595,0,0.00
C4514427048,0,0.00
C5204699492,0,0.00
C4585523862,1,2672260.93
C9906898300,0,0.00
C6594496609,0,0.00
C7205097847,1,2786509.95
C5939082194,0,0.00
C6985565412,5,14927870.89
C3262577600,0,0.00
C3030779675,0,0.00
C2076925671,1,12321189.49
C7748340707,1,4257743.55
C2650609898,2,9036743.09
C9031574393,2,6147062.24
C7132677538,1,3471854.00
C3043741423,3,20194868.28
C3981308026,2,9778599.30
C0542681511,2,6957322.54
C4294707377,0,0.00
C6318477144,1,9655109.52
C1384297023,2,6543725.27
C9203323585,0,0.00
C1314021495,0,0.00
C4088503515,0,0.00
C5784324533,0,0.00
C4614162804,0,0.00
C4216261146,1,6467850.75
C3352399130,2,7287837.47
C9591680328,0,0.00
C4405676667,1,2928264.14
C2836882798,2,5935377.74
C2130280225,2,7142908.44
C2274926260,0,0.00
C9049768473,0,0.00
C4842899305,1,4373791.16
C0807904437,0,0.00
C2053284519,2,4003236.49
C6743367369,0,0.00
C9394646554,0,0.00
C5964952757,1,3852458.69
C2528521066,1,4762246.45
C6400312328,1,7325202.16
C8468042407,3,19791356.37
C4903974655,1,3197562.86
C5080854298,1,2912739.84
C0861205525,3,9217507.86
C5009443290,0,0.00
C8068152450,1,3101470.07
C9105636791,0,0.00
C9337972699,0,0.00
C9902578811,1,2659678.58
C9603128296,0,0.00
C4477159900,0,0.00
