action,high,low,total,freq
PAYMENT,100,299,5,0.00025
CASH_IN,3,3,363,0.01815
CASH_IN,4,4,287,0.01435
TRANSFER,4,4,1046,0.05230
CASH_OUT,100,299,144,0.00720
CASH_IN,100,299,7173,0.35865
CASH_OUT,4,4,1166,0.05830
DEBIT,2,2,3238,0.16190
CASH_IN,5,9,949,0.04745
CASH_OUT,1,1,9916,0.49580
TRANSFER,1500,4999,0,0.00000
PAYMENT,300,799,0,0.00000
TRANSFER,1,1,10681,0.53405
CASH_IN,10,99,7307,0.36535
CASH_OUT,800,1499,0,0.00000
CASH_IN,2,2,606,0.03030
CASH_OUT,300,799,36,0.00180
TRANSFER,5,9,1743,0.08715
DEBIT,10,99,621,0.03105
TRANSFER,10,99,829,0.04145
TRANSFER,300,799,1,0.00005
CASH_OUT,10,99,350,0.01750
PAYMENT,3,3,2199,0.10995
PAYMENT,4,4,1624,0.08120
CASH_OUT,5,9,1557,0.07785
DEBIT,1,1,12903,0.64515
DEBIT,3,3,1411,0.07055
DEBIT,4,4,749,0.03745
CASH_OUT,3,3,2269,0.11345
DEBIT,10000,200000,1,0.00005
DEBIT,100,299,5,0.00025
CASH_IN,800,1499,52,0.00260
TRANSFER,100,299,7,0.00035
PAYMENT,10,99,1048,0.05240
CASH_IN,1500,4999,4,0.00020
CASH_IN,300,799,1740,0.08700
CASH_OUT,2,2,4623,0.23115
PAYMENT,2,2,3213,0.16065
DEBIT,5,9,1133,0.05665
TRANSFER,2,2,3896,0.19480
CASH_IN,1,1,1580,0.07900
TRANSFER,800,1499,0,0.00000
PAYMENT,1,1,5749,0.28745
TRANSFER,3,3,1858,0.09290
PAYMENT,5,9,6223,0.31115
