action,month,day,hour,count,sum,avg,std,step
TRANSFER,0,0,0,2,21240.42,10620.21,14990.96,0
CASH_OUT,0,0,0,1,21220.42,21220.42,0.00,0
CASH_IN,0,0,1,4423,616462735.63,139376.61,1215.70,1
PAYMENT,0,0,1,38,231637.56,6095.73,636.40,1
DEBIT,0,0,1,78,620886.89,7960.09,572.40,1
CASH_OUT,0,0,1,11,776203.33,70563.94,14290.88,1
CASH_IN,0,0,2,903,124050267.80,137375.71,2693.71,2
PAYMENT,0,0,2,7,39650.15,5664.31,1043.73,2
DEBIT,0,0,2,6,27897.65,4649.61,2574.99,2
TRANSFER,0,0,2,3,20559.32,6853.11,8319.25,2
CASH_OUT,0,0,2,6,243287.02,40547.84,27514.99,2
CASH_IN,0,0,3,4,553023.07,138255.77,40917.84,3
DEBIT,0,0,3,2,14061.33,7030.66,1432.22,3
TRANSFER,0,0,3,1,20.00,20.00,0.00,3
TRANSFER,0,0,4,1,50.00,50.00,0.00,4
TRANSFER,0,0,5,2,85.93,42.96,9.95,5
CASH_OUT,0,0,5,1,35.93,35.93,0.00,5
CASH_IN,0,0,6,1656,231711713.30,139922.53,2067.52,6
PAYMENT,0,0,6,12,93636.35,7803.03,716.49,6
DEBIT,0,0,6,28,160245.50,5723.05,738.70,6
CASH_OUT,0,0,6,4,173629.70,43407.43,15093.55,6
CASH_IN,0,0,7,11122,1512934124.26,136030.76,752.76,7
PAYMENT,0,0,7,109,729818.12,6695.58,396.96,7
DEBIT,0,0,7,171,1037931.79,6069.78,343.58,7
TRANSFER,0,0,7,2,74304.90,37152.45,13937.31,7
CASH_OUT,0,0,7,26,2764389.67,106322.68,12254.14,7
CASH_IN,0,0,8,29521,4058860560.78,137490.62,459.82,8
PAYMENT,0,0,8,337,2452508.59,7277.47,240.08,8
DEBIT,0,0,8,457,3997769.74,8747.86,293.25,8
TRANSFER,0,0,8,10,2511513.64,251151.36,70883.49,8
CASH_OUT,0,0,8,128,14698616.27,114832.94,6273.35,8
CASH_IN,0,0,9,42161,5879583795.45,139455.51,389.20,9
PAYMENT,0,0,9,883,7322239.30,8292.46,152.69,9
DEBIT,0,0,9,650,6311524.42,9710.04,276.10,9
TRANSFER,0,0,9,120,63427885.27,528565.71,32727.74,9
CASH_OUT,0,0,9,699,96570615.57,138155.39,3262.13,9
CASH_IN,0,0,10,26135,3698398295.70,141511.32,503.08,10
PAYMENT,0,0,10,1241,10018838.76,8073.20,131.06,10
DEBIT,0,0,10,479,4887837.44,10204.25,322.34,10
TRANSFER,0,0,10,233,126331475.25,542195.17,24447.58,10
CASH_OUT,0,0,10,1123,161879593.95,144149.24,2506.32,10
CASH_IN,0,0,11,24954,3497949902.13,140175.92,511.12,11
PAYMENT,0,0,11,1812,15163973.56,8368.64,111.31,11
DEBIT,0,0,11,506,6022615.94,11902.40,385.09,11
TRANSFER,0,0,11,407,196401701.66,482559.46,17026.56,11
CASH_OUT,0,0,11,1773,254839035.49,143733.24,2767.15,11
CASH_IN,0,0,12,22408,3160423479.56,141039.96,542.89,12
PAYMENT,0,0,12,2199,17867695.82,8125.37,97.75,12
DEBIT,0,0,12,416,7682171.44,18466.76,610.23,12
TRANSFER,0,0,12,541,248948009.08,460162.68,12428.06,12
CASH_OUT,0,0,12,2146,296611515.76,138215.99,1521.98,12
CASH_IN,0,0,13,22573,3171952216.78,140519.75,531.60,13
PAYMENT,0,0,13,2868,22915589.23,7990.09,85.92,13
DEBIT,0,0,13,587,3944034.22,6718.97,190.14,13
TRANSFER,0,0,13,680,269169587.50,395837.63,9054.63,13
CASH_OUT,0,0,13,2968,403385869.43,135911.68,1265.22,13
CASH_IN,0,0,14,24547,3392337348.58,138197.64,503.09,14
PAYMENT,0,0,14,3933,29037205.65,7382.97,65.41,14
DEBIT,0,0,14,701,4602996.75,6566.33,175.18,14
TRANSFER,0,0,14,1028,390244421.05,379615.20,6995.49,14
CASH_OUT,0,0,14,4066,549582952.21,135165.51,1081.13,14
CASH_IN,0,0,15,26245,3605326215.16,137371.93,479.31,15
PAYMENT,0,0,15,5010,37679695.37,7520.90,57.92,15
DEBIT,0,0,15,756,8336789.66,11027.50,296.97,15
TRANSFER,0,0,15,1331,500064340.04,375705.74,6123.10,15
CASH_OUT,0,0,15,5557,730531169.30,131461.43,948.13,15
